a,b,c
122,97215,68
182,1,38392
78358,4992,874
91287,95449,4682
127,1294,2756
9,887,64
63,7349,823
4,41938,1947
289,482,66119
22894,37881,1216
52925,17379,1668
34,9,4
71698,421,19287
699,4114,22
2582,5,49
76,2811,62524
55,3,1742
3942,13,52314
4,3,7
9845,446,38
6862,72819,53813
6,7676,8
62,51,199
88,8,9
633,84793,124
65,2763,79132
4,114,84587
2156,562,83
612,11713,539
7,295,71389
5,1,55
11,455,8
683,183,71226
6,76137,65
44,9642,2
4,5,172
87,52,83325
45477,967,5
188,9,96842
4679,67,65312
63,6487,84
87843,259,4182
85,22,456
253,1,4322
9,1,9649
4,59879,2
123,3659,79891
769,1161,728
72224,12771,392
587,4,3453
84,35,896
536,98,95468
3,49912,6664
9324,14164,4
1916,9,524
8414,9454,6
93,2,195
3,66,19138
57559,621,97331
7,3561,43
6,8,27
7515,268,891
985,43119,27
33,5586,2
12879,1,837
65276,661,4676
567,892,57877
87526,972,48
71,89138,74
97424,7,7297
511,74263,26
5,2591,61966
284,17824,6669
6579,8,4
74,737,21
6811,48988,7344
6913,68,36
6677,87,1
751,818,99
13578,4846,3
1519,9732,62613
57359,5,66
739,3738,8
141,17,58
94546,9,11
78,61,2
5124,2339,16
369,3,12236
4,75684,3
39,22,3819
6,4,5
742,6286,848
65598,4,14879
94265,15494,83
6195,388,2
1,1361,89832
5111,47,196
53782,6396,851
89825,8811,6
74,711,64525
